Word  Worst  Mean
thirl   300  22.04
weary   300  22.25
nosed   300  22.47
shorl   300  22.91
nodes   300  24.10
shyer   300  24.36
throe   301  17.66
elint   301  18.81
metro   301  18.97
enlit   301  19.28
dorse   301  19.45
botel   301  19.95
brail   301  20.48
doser   301  20.48
sored   301  20.48
dores   301  21.63
rosed   301  21.63
rodes   301  22.25
doers   301  22.69
libra   301  22.69
moyle   301  22.69
resod   301  22.91
deros   301  23.14
redos   301  23.61
other   301  23.86
dirls   301  24.10
lythe   301  27.22
aizle   301  28.57
torah   302  18.37
trope   302  19.12
toper   302  19.78
grace   302  20.12
monie   302  20.12
opter   302  20.12
moste   302  20.30
haets   302  20.48
repot   302  20.48
smote   302  21.04
cager   302  21.23
email   302  21.63
mesto   302  21.63
stray   302  21.83
alive   302  22.04
motes   302  22.04
steno   302  22.47
frena   302  22.69
ranke   302  22.69
tomes   302  22.91
artsy   302  23.14
satyr   302  23.86
codes   302  23.86
cosed   302  23.86
trays   302  24.36
image   302  24.88
anker   302  25.15
raupo   302  25.43
nerka   302  26.00
naker   302  26.60
decos   302  26.91
aurae   302  27.22
axile   302  27.22
urare   302  28.57
kyrie   302  30.05
quare   302  34.03
jiaos   302  36.73
sient   303  18.08
teach   303  18.22
prone   303  18.51
neist   303  18.97
morne   303  19.45
preon   303  19.45
gorse   303  19.61
rudie   303  19.61
stein   303  19.78
inset   303  19.95
moner   303  20.30
tache   303  20.48
teins   303  20.48
untie   303  20.85
gores   303  21.04
tines   303  21.04
unite   303  21.43
soger   303  21.43
nites   303  21.83
senti   303  22.04
goers   303  22.47
vireo   303  22.69
regos   303  23.14
nosey   303  23.37
darns   303  23.37
rands   303  23.61
delts   303  23.86
ergos   303  23.86
fanes   303  24.62
nards   303  26.00
ogres   303  26.60
noyes   303  26.91
crape   304  17.27
surat   304  17.94
curse   304  18.37
caper   304  18.81
aloin   304  18.97
leach   304  19.12
cures   304  19.28
feast   304  19.45
pacer   304  19.45
sucre   304  19.45
cruse   304  19.78
crues   304  20.85
harem   304  21.04
gerah   304  21.04
recap   304  21.23
herma   304  21.43
sutra   304  21.43
feats   304  22.04
festa   304  22.25
lunes   304  22.47
rends   304  22.91
ecrus   304  23.14
ratus   304  23.14
fates   304  23.61
derns   304  23.86
fetas   304  23.86
nerds   304  24.62
yince   304  25.15
ulema   304  25.43
ileal   304  27.55
owies   304  27.88
quate   304  33.06
triad   305  18.22
bonie   305  19.78
hated   305  20.12
elsin   305  20.85
death   305  21.04
stake   305  22.04
skate   305  22.47
cames   305  23.37
maces   305  24.10
teaks   305  24.36
suave   305  25.43
acmes   305  26.60
ketas   305  27.22
takes   305  28.57
ohias   305  29.67
yowie   305  37.32
troad   306  19.12
heald   306  20.30
tardo   306  20.30
stope   306  20.48
waste   306  20.85
drest   306  20.85
sweat   306  21.04
haled   306  21.04
carns   306  21.23
tawse   306  21.23
tules   306  21.23
crans   306  21.43
danio   306  21.43
lutes   306  21.43
pesto   306  21.63
scran   306  21.63
stoep   306  21.83
potes   306  22.25
twaes   306  22.47
hoied   306  22.69
pelon   306  22.69
peons   306  22.69
topes   306  22.91
narcs   306  23.37
wetas   306  24.62
dosai   306  28.57
cadre   307  18.08
roist   307  18.37
cedar   307  18.66
cared   307  19.12
arced   307  19.45
rosit   307  19.45
raced   307  20.12
trois   307  20.12
trios   307  20.48
acred   307  21.43
riots   307  21.43
rotis   307  21.43
tiros   307  21.63
torsi   307  21.83
douse   307  22.69
pilao   307  22.69
rosti   307  24.10
homie   307  24.36
nurls   307  27.55
uveas   307  34.03
truce   308  17.40
cruet   308  17.40
curet   308  17.53
piert   308  18.22
cuter   308  18.66
those   308  18.81
tripe   308  18.81
shote   308  18.97
eruct   308  19.12
swale   308  19.78
porta   308  19.95
false   308  20.12
aport   308  20.66
valet   308  21.04
recut   308  21.04
snoep   308  21.43
sweal   308  21.43
petri   308  22.25
pones   308  22.25
feals   308  22.47
fleas   308  22.69
saury   308  22.69
weals   308  23.14
skier   308  23.37
